Frame,X,Y,Z,W,Timestamp
0,-0.93188477,-0.23919678,0.11975098,0.24511719,159621768
1,-0.9319458,-0.23913574,0.11981201,0.24499512,159631772
2,-0.9319458,-0.23913574,0.11981201,0.24481201,159641792
3,-0.93200684,-0.23913574,0.11981201,0.2446289,159651808
4,-0.9320679,-0.23919678,0.11987305,0.24438477,159661804
5,-0.9321289,-0.23925781,0.11987305,0.24407959,159671828
6,-0.93218994,-0.23925781,0.11981201,0.24377441,159681828
7,-0.932312,-0.23925781,0.11981201,0.2434082,159691844
8,-0.9324341,-0.23919678,0.11975098,0.24310303,159701844
9,-0.9324951,-0.23919678,0.119628906,0.24285889,159711868
10,-0.93255615,-0.23919678,0.1194458,0.24261475,159721872
11,-0.9326782,-0.23919678,0.119140625,0.2423706,159731880
12,-0.9328003,-0.23913574,0.11883545,0.24206543,159741892
13,-0.9329834,-0.2390747,0.11853027,0.24176025,159751904
14,-0.93310547,-0.23901367,0.11828613,0.24139404,159761912
15,-0.93322754,-0.2388916,0.11810303,0.24102783,159771924
16,-0.9333496,-0.23876953,0.11798096,0.24066162,159781944
17,-0.9335327,-0.2387085,0.11785889,0.24029541,159791940
18,-0.9337158,-0.23846436,0.11755371,0.23986816,159801964
19,-0.9338989,-0.23815918,0.11743164,0.23950195,159811960
20,-0.934021,-0.23803711,0.117492676,0.23919678,159821980
21,-0.934021,-0.23797607,0.11773682,0.23901367,159831988
22,-0.93408203,-0.237854,0.11785889,0.2388916,159842004
23,-0.93414307,-0.2376709,0.11804199,0.23883057,159852008
24,-0.9342041,-0.23742676,0.1182251,0.2387085,159862008
25,-0.93426514,-0.23712158,0.11828613,0.23858643,159872048
26,-0.93444824,-0.23687744,0.1182251,0.23828125,159882044
27,-0.93463135,-0.23669434,0.11798096,0.23791504,159892056
28,-0.9347534,-0.23657227,0.11785889,0.23754883,159902056
29,-0.9348755,-0.23651123,0.11779785,0.23712158,159912068
30,-0.93499756,-0.23638916,0.11785889,0.2368164,159922088
31,-0.9351196,-0.23620605,0.11791992,0.23651123,159932100
32,-0.9352417,-0.23602295,0.11798096,0.23620605,159942108
33,-0.93530273,-0.23583984,0.11804199,0.23590088,159952112
34,-0.9354248,-0.23565674,0.11804199,0.23565674,159962128
35,-0.9355469,-0.23553467,0.11804199,0.23547363,159972136
36,-0.9356079,-0.2354126,0.11804199,0.23529053,159982148
37,-0.93566895,-0.23535156,0.11810303,0.23510742,159992156
38,-0.93573,-0.23522949,0.11816406,0.23486328,160002172
39,-0.935791,-0.23504639,0.1182251,0.23468018,160012180
40,-0.9359131,-0.23474121,0.11828613,0.23443604,160022200
41,-0.93603516,-0.234375,0.1184082,0.23425293,160032192
42,-0.9361572,-0.2341919,0.11846924,0.23406982,160042204
43,-0.93621826,-0.23406982,0.11834717,0.23394775,160052232
44,-0.93640137,-0.23388672,0.11798096,0.23370361,160062232
45,-0.9366455,-0.23352051,0.117126465,0.23339844,160072240
46,-0.9370117,-0.2331543,0.11608887,0.23297119,160082244
47,-0.93725586,-0.23309326,0.11505127,0.23242188,160092260
48,-0.9375,-0.23321533,0.11407471,0.23187256,160102284
49,-0.9376831,-0.23358154,0.11291504,0.23120117,160112284
50,-0.9378662,-0.234375,0.111694336,0.23034668,160122288
51,-0.93792725,-0.23565674,0.1104126,0.22943115,160132304
52,-0.9378052,-0.23742676,0.109313965,0.22857666,160142320
53,-0.93756104,-0.23962402,0.10845947,0.2277832,160152324
54,-0.93707275,-0.24230957,0.107910156,0.22711182,160162352
55,-0.93640137,-0.24554443,0.107543945,0.22650146,160172340
56,-0.9356079,-0.24932861,0.107299805,0.22595215,160182356
57,-0.9345703,-0.25372314,0.10723877,0.22540283,160192364
58,-0.93322754,-0.2588501,0.107177734,0.22503662,160202376
59,-0.93170166,-0.26452637,0.107055664,0.22479248,160212384
60,-0.9299927,-0.27069092,0.10687256,0.22473145,160222396
61,-0.9281006,-0.2770996,0.10644531,0.22479248,160232416
62,-0.92614746,-0.28375244,0.10583496,0.22491455,160242416
63,-0.92407227,-0.2904663,0.10522461,0.22515869,160252432
64,-0.921875,-0.29748535,0.10455322,0.22546387,160262448
65,-0.9194946,-0.30462646,0.103881836,0.22576904,160272460
66,-0.9169922,-0.3121338,0.10321045,0.22607422,160282464
67,-0.91430664,-0.31982422,0.10266113,0.2263794,160292484
68,-0.911499,-0.32763672,0.10235596,0.22662354,160302492
69,-0.90856934,-0.33563232,0.10229492,0.2267456,160312500
70,-0.9055786,-0.34362793,0.10247803,0.2267456,160322512
71,-0.9024048,-0.35180664,0.10284424,0.22662354,160332520
72,-0.8991699,-0.36016846,0.10333252,0.22625732,160342536
73,-0.8956909,-0.36871338,0.10406494,0.22583008,160352548
74,-0.8921509,-0.3772583,0.1048584,0.22540283,160362564
75,-0.8885498,-0.3857422,0.105651855,0.22491455,160372560
76,-0.88482666,-0.39416504,0.10644531,0.2244873,160382584
77,-0.8811035,-0.40252686,0.107299805,0.22399902,160392580
78,-0.8772583,-0.41082764,0.10821533,0.22351074,160402592
79,-0.8734131,-0.41900635,0.109191895,0.22290039,160412600
80,-0.8695679,-0.42712402,0.11010742,0.222229,160422616
81,-0.8656616,-0.4350586,0.11090088,0.22155762,160432628
82,-0.8617554,-0.44293213,0.11175537,0.22088623,160442632
83,-0.8577881,-0.4506836,0.11273193,0.22021484,160452656
84,-0.85369873,-0.458313,0.113708496,0.21960449,160462656
85,-0.8496704,-0.46588135,0.11456299,0.2189331,160472684
86,-0.84576416,-0.4732666,0.115112305,0.21813965,160482684
87,-0.8418579,-0.4804077,0.11541748,0.21728516,160492696
88,-0.8378296,-0.48773193,0.11578369,0.21636963,160502708
89,-0.83361816,-0.49517822,0.1161499,0.2154541,160512724
90,-0.82940674,-0.5025635,0.11645508,0.21453857,160522732
91,-0.8251953,-0.50982666,0.11663818,0.21350098,160532732
92,-0.8210449,-0.5170288,0.11663818,0.21228027,160542756
93,-0.81689453,-0.5241699,0.11639404,0.21081543,160552764
94,-0.8128662,-0.5311279,0.1159668,0.20922852,160562772
95,-0.8088989,-0.53796387,0.115478516,0.20739746,160572780
96,-0.8050537,-0.5444946,0.11505127,0.2055664,160582792
97,-0.8012085,-0.5509033,0.11468506,0.20367432,160592808
98,-0.79730225,-0.557312,0.11425781,0.20172119,160602820
99,-0.7932739,-0.5638428,0.11383057,0.19958496,160612828
100,-0.7891846,-0.5704346,0.113342285,0.1973877,160622828
