Frame,X,Y,Z,W,Timestamp
0,0.72320557,-0.008300781,0.009155273,-0.6904907,14278
1,0.7232666,-0.008605957,0.008911133,-0.6904907,14284
2,0.7232666,-0.008911133,0.008728027,-0.6904297,14292
3,0.72332764,-0.009216309,0.008605957,-0.69036865,14300
4,0.7233887,-0.009399414,0.008605957,-0.6903076,14312
5,0.7234497,-0.009521484,0.008666992,-0.6902466,14321
6,0.7234497,-0.009460449,0.008728027,-0.6902466,14333
7,0.72351074,-0.009399414,0.008728027,-0.69018555,14341
8,0.72351074,-0.009277344,0.008728027,-0.69018555,14354
9,0.7235718,-0.009277344,0.008728027,-0.69018555,14361
10,0.7235718,-0.009277344,0.008728027,-0.6901245,14374
11,0.7235718,-0.009460449,0.0087890625,-0.6901245,14382
12,0.7235718,-0.009643555,0.0087890625,-0.6901245,14390
13,0.7235718,-0.009765625,0.008850098,-0.6901245,14403
14,0.7236328,-0.009765625,0.0087890625,-0.6900635,14411
15,0.7236328,-0.009765625,0.008728027,-0.6900635,14423
16,0.7236328,-0.00970459,0.008666992,-0.6900635,14431
17,0.72369385,-0.009643555,0.008605957,-0.69000244,14443
18,0.72369385,-0.0095825195,0.008483887,-0.69000244,14451
19,0.7236328,-0.0095825195,0.008483887,-0.6900635,14464
20,0.7236328,-0.0095825195,0.008483887,-0.6900635,14472
21,0.7236328,-0.009643555,0.008544922,-0.6900635,14480
22,0.7236328,-0.00970459,0.008605957,-0.6900635,14493
23,0.7235718,-0.00982666,0.008605957,-0.6900635,14501
24,0.7235718,-0.010070801,0.008605957,-0.6901245,14513
25,0.7235718,-0.010253906,0.008666992,-0.6901245,14521
26,0.7235718,-0.010375977,0.008666992,-0.6901245,14534
27,0.7235718,-0.010437012,0.008666992,-0.6901245,14542
28,0.7235718,-0.010437012,0.008666992,-0.6901245,14554
29,0.7235718,-0.010437012,0.008605957,-0.6901245,14562
30,0.7235718,-0.010375977,0.008544922,-0.6901245,14570
31,0.7235718,-0.010375977,0.008605957,-0.6900635,14582
32,0.7236328,-0.010498047,0.008666992,-0.6900635,14591
33,0.72369385,-0.010559082,0.008728027,-0.69000244,14603
34,0.72369385,-0.010681152,0.0087890625,-0.6899414,14612
35,0.7237549,-0.010803223,0.0087890625,-0.6899414,14624
36,0.7237549,-0.010925293,0.008728027,-0.6898804,14632
37,0.7238159,-0.010986328,0.008728027,-0.68981934,14644
38,0.72387695,-0.011047363,0.008728027,-0.6897583,14653
39,0.723938,-0.011047363,0.008728027,-0.68969727,14661
40,0.723999,-0.011047363,0.008728027,-0.68969727,14673
41,0.723999,-0.010986328,0.008666992,-0.68963623,14681
42,0.72406006,-0.010986328,0.008666992,-0.68963623,14693
43,0.72406006,-0.010925293,0.008728027,-0.6895752,14702
44,0.7241211,-0.010925293,0.008728027,-0.68951416,14713
45,0.7241211,-0.010925293,0.0087890625,-0.68951416,14722
46,0.7241821,-0.00970459,0.009155273,-0.68951416,14730
47,0.723999,-0.0072021484,0.010437012,-0.68969727,14743
48,0.723938,-0.007751465,0.010192871,-0.6897583,14751
49,0.723999,-0.009094238,0.009521484,-0.68969727,14763
50,0.723999,-0.010192871,0.008911133,-0.68963623,14771
51,0.72406006,-0.010253906,0.0087890625,-0.68963623,14783
52,0.72406006,-0.009765625,0.008972168,-0.68963623,14792
53,0.72406006,-0.009521484,0.009033203,-0.68963623,14804
54,0.72406006,-0.0095825195,0.008972168,-0.68963623,14812
55,0.72406006,-0.009216309,0.009155273,-0.6895752,14820
56,0.7241211,-0.008483887,0.0095825195,-0.6895752,14833
57,0.7241211,-0.007507324,0.010131836,-0.6895752,14840
58,0.7241211,-0.0073242188,0.010253906,-0.6895752,14853
59,0.7241211,-0.0072021484,0.010375977,-0.6895752,14862
60,0.7241211,-0.0072021484,0.010375977,-0.6895752,14873
